timestamp,value,created_at
1665151628000,18.53,1665151637889
1665151508000,18.51,1665151517661
1665151388000,18.51,1665151397644
1665151148000,18.48,1665151157647
1665151028000,18.48,1665151038236
1665150908000,18.46,1665150917264
1665150788000,18.46,1665150797623
1665150668000,18.45,1665150677486
1665150548000,18.44,1665150557365
1665150428000,18.42,1665150438122
1665150188000,18.41,1665150197716
1665150068000,18.39,1665150077635
1665149948000,18.38,1665149957351
1665149828000,18.38,1665149837882
1665149708000,18.38,1665149717611
1665149588000,18.37,1665149597604
1665149468000,18.37,1665149477608
1665149348000,18.34,1665149357332
1665149108000,18.32,1665149117600
1665148988000,18.32,1665148997300
1665148868000,18.31,1665148878953
1665148748000,18.3,1665148757250
1665148628000,18.28,1665148637785
1665148508000,18.27,1665148517295
1665148268000,18.24,1665148277236
1665148148000,18.22,1665148157204
1665148028000,18.22,1665148049770
1665147908000,18.21,1665147917008
1665147788000,18.2,1665147796931
1665147668000,18.18,1665147677370
1665147548000,18.17,1665147557582
1665147428000,18.15,1665147437745
1665147188000,18.13,1665147197285
1665147068000,18.11,1665147078824
1665146948000,18.1,1665146957639
1665146828000,18.1,1665146837551
1665146708000,18.08,1665146716699
1665146588000,18.07,1665146597181
1665146348000,18.06,1665146357902
1665146228000,18.04,1665146237469
1665146108000,18.04,1665146117195
1665145988000,18.03,1665145997172
1665145868000,18.01,1665145877140
1665145748000,18,1665145757187
1665145628000,18,1665145637433
1665145508000,17.99,1665145518501
1665145268000,17.96,1665145278513
1665145148000,17.94,1665145157157
1665145028000,17.93,1665145038032
1665144908000,17.93,1665144917259
1665144788000,17.91,1665144796800
1665144668000,17.9,1665144677383
1665144548000,17.9,1665144556810
1665144308000,17.9,1665144317049
1665144188000,17.9,1665144197342
1665144068000,17.89,1665144077356
1665143948000,17.89,1665143957336
1665143828000,17.89,1665143837646
1665143708000,17.89,1665143717332
1665143468000,17.89,1665143477392
1665143348000,17.89,1665143357336
1665143228000,17.87,1665143237314
1665143108000,17.87,1665143116673
1665142988000,17.89,1665142997089
1665142868000,17.9,1665142877038
1665142748000,17.92,1665142758884
1665142628000,17.94,1665142639385
1665142388000,17.96,1665142397084
1665142268000,17.94,1665142278251
1665142148000,17.96,1665142157054
1665142028000,17.97,1665142037789
1665141908000,17.94,1665141916788
1665141788000,17.96,1665141797328
1665141548000,17.97,1665141557555
1665141428000,17.97,1665141437849
1665141308000,17.97,1665141317090
1665141188000,17.97,1665141197036
1665141068000,17.97,1665141077045
1665140948000,17.99,1665140957069
1665140828000,17.99,1665140837602
1665140708000,17.99,1665140716612
1665140588000,17.99,1665140597120
1665140348000,17.99,1665140357007
1665140228000,17.99,1665140237838
1665140108000,17.99,1665140116689
1665139988000,18,1665139996947
1665139868000,18,1665139876512
1665139748000,18,1665139757267
1665139628000,18,1665139637499
1665139388000,18.01,1665139397005
1665139268000,18.03,1665139277190
1665139148000,18.01,1665139156990
1665139028000,18.03,1665139037716
1665138908000,18.03,1665138917460
1665138788000,18.03,1665138797125
1665138548000,18.03,1665138556605
1665138428000,18.03,1665138437034
1665138308000,18.03,1665138316541
1665138188000,18.04,1665138196581
1665138068000,18.04,1665138076602
1665137948000,18.04,1665137957045
1665137708000,18.04,1665137716488
1665137588000,18.04,1665137596457
1665137468000,18.04,1665137477376
1665137348000,18.06,1665137356508
1665137228000,18.06,1665137236957
1665137108000,18.06,1665137117631
1665136988000,18.06,1665136996970
1665136868000,18.07,1665136876443
1665136748000,18.07,1665136757039
1665136508000,18.06,1665136516451
1665136388000,18.08,1665136396481
1665136268000,18.07,1665136276587
1665136148000,18.08,1665136157198
1665136028000,18.08,1665136036698
1665135908000,18.08,1665135916491
1665135668000,18.08,1665135677320
1665135548000,18.1,1665135556331
1665135428000,18.1,1665135436979
1665135308000,18.1,1665135316268
1665135188000,18.1,1665135196393
1665135068000,18.1,1665135077023
1665134828000,18.1,1665134837025
1665134708000,18.11,1665134716851
1665134588000,18.11,1665134596840
1665134468000,18.11,1665134476896
1665134348000,18.11,1665134356861
1665134228000,18.11,1665134237538
1665134108000,18.11,1665134116885
1665133988000,18.11,1665133996942
1665133747000,18.14,1665133756399
1665133627000,18.14,1665133638878
1665133507000,18.14,1665133516971
1665133387000,18.14,1665133397182
1665133267000,18.1,1665133277195
1665133147000,18.1,1665133156979
1665133027000,18.11,1665133037852
1665132907000,18.11,1665132917295
1665132787000,18.11,1665132796993
1665132667000,18.11,1665132676205
1665132547000,18.11,1665132558079
1665132427000,18.11,1665132437383
1665132307000,18.11,1665132316788
1665132067000,18.14,1665132077174
1665131947000,18.14,1665131956786
1665131827000,18.13,1665131837400
1665131707000,18.14,1665131717081
1665131587000,18.14,1665131596822
1665131467000,18.14,1665131476797
1665131347000,18.14,1665131356243
1665131227000,18.14,1665131237461
1665130987000,18.15,1665130997086
1665130867000,18.14,1665130878092
1665130747000,18.15,1665130758351
1665130627000,18.15,1665130637494
1665130507000,18.15,1665130516790
1665130387000,18.15,1665130396727
1665130267000,18.15,1665130277025
1665130147000,18.15,1665130156694
1665129907000,18.15,1665129916822
1665129787000,18.17,1665129797035
1665129667000,18.17,1665129676819
1665129547000,18.17,1665129557050
1665129427000,18.17,1665129438556
1665129307000,18.17,1665129317010
1665129067000,18.17,1665129076705
1665128947000,18.17,1665128957015
1665128827000,18.18,1665128836456
1665128707000,18.18,1665128716737
1665128587000,18.18,1665128596984
1665128467000,18.18,1665128476774
1665128347000,18.2,1665128356814
1665128227000,18.2,1665128237325
1665128107000,18.2,1665128118267
1665127867000,18.2,1665127876649
1665127747000,18.2,1665127758370
1665127627000,18.2,1665127638483
1665127507000,18.2,1665127516730
1665127387000,18.21,1665127397894
1665127267000,18.21,1665127276647
1665127147000,18.21,1665127156643
1665126907000,18.21,1665126916738
1665126787000,18.21,1665126796615
1665126667000,18.21,1665126676971
1665126547000,18.21,1665126556996
1665126427000,18.22,1665126437541
1665126307000,18.22,1665126316690
1665126067000,18.22,1665126076859
1665125947000,18.24,1665125956809
1665125827000,18.24,1665125837451
1665125707000,18.24,1665125716824
1665125587000,18.24,1665125596535
1665125467000,18.25,1665125476553
1665125227000,18.25,1665125237170
1665125107000,18.25,1665125116818
1665124987000,18.25,1665124996842
1665124867000,18.25,1665124876555
1665124747000,18.25,1665124756560
1665124627000,18.25,1665124637471
1665124507000,18.27,1665124516574
1665124387000,18.27,1665124398280
1665124147000,18.27,1665124156839
1665124027000,18.28,1665124037157
1665123907000,18.27,1665123916598
1665123787000,18.28,1665123796863
1665123667000,18.28,1665123676521
1665123547000,18.3,1665123556865
1665123307000,18.3,1665123316776
1665123187000,18.3,1665123196856
1665123067000,18.3,1665123077938
1665122947000,18.3,1665122956495
1665122827000,18.31,1665122837363
1665122707000,18.31,1665122716767
1665122587000,18.31,1665122596904
1665122347000,18.31,1665122356481
1665122227000,18.32,1665122237441
1665122107000,18.32,1665122116461
1665121987000,18.32,1665121996760
1665121867000,18.32,1665121876766
1665121747000,18.34,1665121756778
1665121627000,18.34,1665121637090
1665121507000,18.34,1665121516467
1665121387000,18.35,1665121396815
1665121147000,18.35,1665121156954
1665121027000,18.35,1665121036173
1665120907000,18.35,1665120916481
1665120787000,18.35,1665120796385
1665120667000,18.37,1665120678127
1665120547000,18.37,1665120555867
1665120307000,18.37,1665120316406
1665120187000,18.37,1665120196376
1665120067000,18.37,1665120076681
1665119947000,18.37,1665119956396
1665119827000,18.37,1665119837291
1665119707000,18.38,1665119716773
1665119467000,18.38,1665119476707
1665119347000,18.38,1665119358051
1665119227000,18.38,1665119236447
1665119107000,18.39,1665119116694
1665118987000,18.38,1665118998000
1665118867000,18.41,1665118876459
1665118747000,18.41,1665118756351
1665118507000,18.39,1665118516651
1665118387000,18.41,1665118395797
1665118267000,18.41,1665118276436
1665118147000,18.41,1665118156356
1665118027000,18.41,1665118036900
1665117907000,18.41,1665117916728
1665117787000,18.42,1665117796603
1665117547000,18.42,1665117555818
1665117427000,18.42,1665117436920
1665117307000,18.42,1665117316312
1665117187000,18.42,1665117196417
1665117067000,18.42,1665117076600
1665116947000,18.44,1665116956312
1665116827000,18.44,1665116836991
1665116707000,18.44,1665116717581
1665116467000,18.45,1665116475737
1665116347000,18.44,1665116356347
1665116227000,18.45,1665116237211
1665116107000,18.45,1665116116277
1665115987000,18.46,1665115996277
1665115867000,18.46,1665115876856
1665115627000,18.46,1665115637109
1665115507000,18.46,1665115523722
1665115387000,18.46,1665115395699
1665115267000,18.46,1665115275625
1665115147000,18.48,1665115156524
1665115027000,18.48,1665115036259
1665114907000,18.48,1665114917950
1665114787000,18.48,1665114796323
1665114667000,18.48,1665114676424
1665114426000,18.48,1665114436208
1665114306000,18.49,1665114315749
1665114186000,18.49,1665114197087
1665114066000,18.51,1665114075520
1665113946000,18.51,1665113955575
1665113826000,18.52,1665113836188
1665113706000,18.51,1665113715521
1665113466000,18.52,1665113475766
1665113346000,18.52,1665113356355
1665113226000,18.52,1665113236061
1665113106000,18.52,1665113115512
1665112986000,18.52,1665112995686
1665112866000,18.52,1665112875666
1665112626000,18.52,1665112636164
1665112506000,18.52,1665112515725
1665112386000,18.52,1665112395521
1665112266000,18.52,1665112275560
1665112146000,18.53,1665112156437
1665112026000,18.52,1665112035956
1665111786000,18.53,1665111795864
1665111666000,18.53,1665111676339
1665111546000,18.53,1665111557744
1665111426000,18.53,1665111436260
1665111306000,18.53,1665111315509
1665111186000,18.53,1665111195442
1665111066000,18.53,1665111076334
1665110946000,18.53,1665110956483
1665110706000,18.53,1665110716111
1665110586000,18.53,1665110595556
1665110466000,18.53,1665110476166
1665110346000,18.53,1665110356456
1665110226000,18.53,1665110235979
1665110106000,18.53,1665110115767
1665109866000,18.53,1665109876070
1665109746000,18.55,1665109757613
1665109626000,18.53,1665109636482
1665109506000,18.55,1665109515438
1665109386000,18.55,1665109396306
1665109266000,18.55,1665109275541
1665109026000,18.56,1665109036141
1665108906000,18.56,1665108916679
1665108786000,18.55,1665108797156
1665108666000,18.55,1665108676218
1665108546000,18.56,1665108555403
1665108426000,18.56,1665108441168
1665108306000,18.56,1665108315353
1665108186000,18.58,1665108195465
1665108066000,18.58,1665108075686
1665107946000,18.58,1665107955554
1665107706000,18.58,1665107715509
1665107586000,18.58,1665107595378
1665107466000,18.59,1665107475399
1665107346000,18.58,1665107355437
1665107226000,18.59,1665107249316
1665107106000,18.59,1665107116891
1665106866000,18.59,1665106876224
1665106746000,18.59,1665106755444
1665106626000,18.6,1665106635790
1665106506000,18.62,1665106515603
1665106386000,18.62,1665106395582
1665106266000,18.6,1665106275460
1665106146000,18.6,1665106156190
1665105906000,18.62,1665105915618
1665105786000,18.63,1665105796041
1665105666000,18.62,1665105675521
1665105546000,18.63,1665105556115
1665105426000,18.63,1665105438233
1665105306000,18.63,1665105315664
1665105066000,18.63,1665105075902
1665104946000,18.63,1665104955777
1665104826000,18.65,1665104836002
1665104706000,18.65,1665104715392
1665104586000,18.65,1665104595196
1665104466000,18.65,1665104476023
1665104346000,18.65,1665104355976
1665104106000,18.65,1665104115293
1665103986000,18.67,1665103995766
1665103866000,18.67,1665103876727
1665103746000,18.67,1665103755416
1665103626000,18.67,1665103645113
1665103506000,18.67,1665103515492
1665103386000,18.69,1665103395613
1665103266000,18.69,1665103275501
1665103146000,18.69,1665103155357
1665102906000,18.69,1665102915313
1665102786000,18.69,1665102795524
1665102666000,18.7,1665102675562
1665102546000,18.7,1665102555450
1665102426000,18.73,1665102436415
1665102186000,18.73,1665102197454
1665102066000,18.75,1665102075393
1665101946000,18.75,1665101955929
1665101826000,18.76,1665101835615
1665101706000,18.76,1665101715260
1665101586000,18.76,1665101595888
1665101466000,18.76,1665101475364
1665101346000,18.77,1665101355999
1665101106000,18.79,1665101117483
1665100986000,18.8,1665100995276
1665100866000,18.8,1665100875267
1665100746000,18.8,1665100755478
1665100626000,18.8,1665100641266
1665100506000,18.81,1665100516046
1665100266000,18.81,1665100275374
1665100146000,18.81,1665100155323
1665100026000,18.83,1665100037227
1665099906000,18.84,1665099915351
1665099786000,18.86,1665099795229
1665099666000,18.86,1665099675234
1665099546000,18.87,1665099555067
1665099426000,18.87,1665099435577
1665099186000,18.89,1665099195179
1665099066000,18.91,1665099075158
1665098946000,18.91,1665098955276
1665098826000,18.9,1665098835931
1665098706000,18.9,1665098715860
1665098586000,18.91,1665098597463
1665098346000,18.93,1665098354966
1665098226000,18.91,1665098235455
1665098106000,18.91,1665098147773
1665097986000,18.9,1665097995901
1665097866000,18.9,1665097875488
1665097746000,18.91,1665097756011
1665097626000,18.89,1665097636267
1665097386000,18.86,1665097404599
1665097266000,18.86,1665097280240
1665097146000,18.84,1665097155329
1665097026000,18.81,1665097035870
1665096906000,18.81,1665096924776
1665096786000,18.81,1665096886702
1665096546000,18.8,1665096555330
1665096426000,18.8,1665096438338
1665096306000,18.81,1665096435621
1665096186000,18.83,1665096195502
1665096066000,18.87,1665096085129
1665095946000,18.87,1665095966800
1665095706000,18.84,1665095715148
1665095586000,18.83,1665095596667
1665095466000,18.84,1665095479895
1665095346000,18.84,1665095355442
1665095226000,18.84,1665095251580
1665095106000,18.83,1665095128287
1663792635000,18.3,1663792713685
1663792515000,18.3,1663792595996
1663792395000,18.28,1663792473681
1663792275000,18.28,1663792353770
1663792155000,18.28,1663792234954
1663792035000,18.28,1663792113720
1663791915000,18.28,1663791993650
1663791795000,18.27,1663791874675
1663791675000,18.27,1663791754286
1663791555000,18.24,1663791636344
1663791435000,18.25,1663791513631
1663791315000,18.24,1663791393668
1663791195000,18.24,1663791273603
1663791075000,18.24,1663791153639
1663790955000,18.23,1663791049330
1663790835000,18.23,1663790913706
1663790715000,18.23,1663790795537
1663790595000,18.23,1663790673595
1663790475000,18.23,1663790558444
1663790355000,18.23,1663790433987
1663790235000,18.21,1663790313634
1663790115000,18.21,1663790193749
1663789995000,18.2,1663790073632
1663789875000,18.18,1663789953530
1663789755000,18.18,1663789833883
1663789635000,18.18,1663789716003
1663789515000,18.18,1663789593824
1663789395000,18.18,1663789473769
1663789275000,18.17,1663789356452
1663789155000,18.17,1663789234173
1663789035000,18.17,1663789113605
1663788915000,18.17,1663788993687
1663788795000,18.16,1663788873517
1663788675000,18.16,1663788754249
1663788555000,18.16,1663788634205
1663788435000,18.16,1663788513595
1663788315000,18.16,1663788393688
1663788195000,18.16,1663788274479
1663788075000,18.14,1663788154478
1663787955000,18.14,1663788033914
1663787835000,18.13,1663787913545
1663787715000,18.13,1663787793717
1663787595000,18.11,1663787673717
1663787475000,18.11,1663787553677
1663787355000,18.11,1663787434219
1663787235000,18.1,1663787314295
1663787115000,18.1,1663787193513
1663786995000,18.09,1663787073641
1663786875000,18.09,1663786953642
1663786755000,18.09,1663786844363
1663786635000,18.06,1663786713471
1663786515000,18.06,1663786593455
1663786395000,18.06,1663786473623
1663786275000,18.04,1663786353555
1663786155000,18.04,1663786234183
1663786035000,18.03,1663786113702
1663785915000,18.01,1663785993381
1663785795000,18.01,1663785874189
1663785675000,18,1663785761881
1663785555000,18,1663785634177
1663785435000,18,1663785513651
1663785315000,17.99,1663785393511
1663785195000,17.97,1663785273630
1663785075000,17.97,1663785153652
1663784955000,17.96,1663785033357
1663784835000,17.94,1663784913398
1663784715000,17.93,1663784793520
1663784595000,17.93,1663784673730
1663784475000,17.9,1663784554180
1663784355000,17.9,1663784434453
1663784235000,17.89,1663784313959
1663784115000,17.87,1663784194171
1663783995000,17.86,1663784073422
1663783875000,17.85,1663783954211
1663783755000,17.83,1663783834573
1663783635000,17.82,1663783714913
1663783515000,17.79,1663783594190
1663783395000,17.78,1663783474215
1663783275000,17.76,1663783353334
1663783155000,17.75,1663783233769
1663783035000,17.73,1663783115886
1663782915000,17.72,1663782993452
1663782795000,17.69,1663782873377
1663782675000,17.68,1663782754786
1663782555000,17.66,1663782633618
1663782435000,17.64,1663782513441
1663782315000,17.62,1663782393217
1663782195000,17.62,1663782273366
1663782075000,17.62,1663782153401
1663781955000,17.64,1663782033931
1663781835000,17.64,1663781914102
1663781715000,17.65,1663781793704
1663020771000,17.88,1663020832331
1662997730000,17.09,1662997738785
1662997610000,17.01,1662997618623
1662997490000,16.94,1662997499372
1662997370000,16.89,1662997378658
1662997250000,16.84,1662997269159
1662761254000,19.46,1662761262650
1662761134000,19.46,1662761142507
1662761014000,19.46,1662761022972
1662760894000,19.45,1662760904677
1662760774000,19.45,1662760784676
1662760654000,19.45,1662760662368
1662760534000,19.45,1662760542521
1662760414000,19.45,1662760422668
1662760294000,19.45,1662760302422
1662760174000,19.45,1662760182392
1662760054000,19.43,1662760063454
1662759934000,19.45,1662759942387
1662759814000,19.43,1662759822684
1662759694000,19.43,1662759702518
1662759574000,19.43,1662759582288
1662759454000,19.43,1662759462363
1662759334000,19.43,1662759342407
1662759214000,19.43,1662759222688
1662759094000,19.43,1662759102349
1662758854000,19.43,1662758862472
1662758734000,19.43,1662758742348
1662758614000,19.43,1662758622978
1662758494000,19.42,1662758502497
1662758374000,19.43,1662758390229
1662758254000,19.41,1662758270221
1662758134000,19.43,1662758142162
1662758014000,19.41,1662758022914
1662757894000,19.41,1662757902443
1662757774000,19.43,1662757782487
1662757654000,19.43,1662757662437
1662757534000,19.42,1662757542385
1662757414000,19.41,1662757425004
1662757294000,19.41,1662757302191
1662757174000,19.41,1662757182197
1662757054000,19.41,1662757062233
1662756934000,19.42,1662756942355
1662756814000,19.42,1662756823188
1662756694000,19.43,1662756702224
1662756574000,19.42,1662756582136
1662756334000,19.42,1662756342305
1662756214000,19.42,1662756223965
1662756094000,19.41,1662756102169
1662755974000,19.41,1662755982379
1662755854000,19.42,1662755862602
1662755734000,19.41,1662755742175
1662755614000,19.41,1662755622565
1662755374000,19.41,1662755382215
1662755254000,19.42,1662755264279
1662755134000,19.41,1662755144296
1662755014000,19.41,1662755022479
1662754894000,19.41,1662754902266
1662754774000,19.41,1662754782483
1662754654000,19.41,1662754662130
1662754414000,19.39,1662754422063
1662754294000,19.39,1662754302140
1662754174000,19.39,1662754182231
1662754054000,19.39,1662754062225
1662753934000,19.39,1662753941998
1662753814000,19.39,1662753822374
1662753694000,19.39,1662753701906
1662753454000,19.38,1662753462107
1662753334000,19.38,1662753341957
1662753214000,19.38,1662753222385
1662753094000,19.38,1662753102442
1662752974000,19.38,1662752982201
1662752854000,19.38,1662752862014
1662752733000,19.38,1662752744161
1662752613000,19.38,1662752622713
1662752493000,19.38,1662752501948
1662752373000,19.38,1662752384243
1662752253000,19.38,1662752262268
1662752133000,19.38,1662752142076
1662752013000,19.38,1662752022669
1662751893000,19.38,1662751902156
1662751773000,19.38,1662751782008
1662751653000,19.38,1662751662145
1662751533000,19.38,1662751542312
1662751413000,19.38,1662751422402
1662751293000,19.36,1662751302209
1662751173000,19.38,1662751182061
1662750933000,19.36,1662750942176
1662750813000,19.36,1662750824569
1662750693000,19.36,1662750701994
1662750573000,19.36,1662750582001
1662750453000,19.36,1662750462003
1662750333000,19.38,1662750342022
1662750213000,19.36,1662750222361
1662749973000,19.38,1662749982135
1662749853000,19.38,1662749864172
1662749733000,19.38,1662749744140
1662749613000,19.38,1662749624771
1662749493000,19.39,1662749502004
1662749373000,19.39,1662749381993
1662749133000,19.39,1662749141998
1662749013000,19.38,1662749022637
1662748893000,19.38,1662748902080
1662748773000,19.38,1662748782075
1662748653000,19.38,1662748661995
1662748533000,19.38,1662748544079
1662748413000,19.38,1662748422259
1662748293000,19.38,1662748301853
1662748053000,19.38,1662748061916
1662747933000,19.38,1662747942026
1662747813000,19.35,1662747822548
1662747693000,19.35,1662747702055
1662747573000,19.35,1662747581887
1662747453000,19.36,1662747462018
1662747333000,19.36,1662747341968
1662747213000,19.35,1662747222448
1662747093000,19.35,1662747101891
1662746973000,19.35,1662746982009
1662746853000,19.35,1662746861876
1662746733000,19.35,1662746741930
1662746613000,19.35,1662746621815
